BRE,HEA,SEC,INE,FAC,HAS,HAB,SIL,UGL,UNT,UNE,PR,POL,VAX,DIS,EXA,ROB
1,1,1,1,1,1,1,1,1,1,1,1,8,32,0,0,3
6,6,3,2,3,1,2,2,2,2,3,1,2,41,0,0,2
7,7,7,7,7,7,7,7,7,7,7,7,5,35,0,4,2
2,2,3,2,2,2,1,3,3,2,2,5,4,33,0,3,6
5,6,5,4,5,1,1,4,4,1,2,1,4,42,0,2,5
7,7,7,7,7,7,7,6,6,6,6,7,7,72,4,10,9
1,1,1,1,1,1,1,1,1,1,1,1,2,21,0,0,4
3,2,1,1,1,1,1,3,3,1,1,1,5,22,0,1,6
7,7,7,4,5,7,7,7,7,1,1,7,7,42,0,1,4
7,7,7,7,4,6,6,4,4,4,4,5,4,42,0,7,2
5,3,5,3,4,4,5,1,1,1,1,4,7,45,2,6,6
2,5,4,2,5,2,4,5,2,1,4,1,4,27,0,0,4
5,4,6,5,4,4,5,2,3,4,3,6,7,48,4,9,6
5,3,4,2,3,2,3,1,1,2,2,3,4,35,2,6,5
7,7,7,5,5,6,6,6,6,7,7,7,4,30,0,0,3
7,6,5,1,2,2,1,1,2,1,2,1,2,43,1,1,4
6,5,1,1,2,1,1,1,1,1,1,1,2,30,0,0,3
2,1,2,1,1,1,1,1,3,2,1,1,4,49,0,0,4
6,6,7,7,7,7,7,7,7,7,7,7,8,71,7,11,8
5,6,5,5,5,5,5,5,5,5,5,6,4,57,0,0,0
5,4,5,5,4,4,5,5,6,4,4,5,5,43,6,7,7
6,6,5,5,6,5,6,2,3,3,5,4,5,44,7,3,4
3,4,2,2,2,2,3,2,2,2,2,2,4,33,0,2,3
4,6,4,3,1,5,5,5,4,4,4,4,7,28,0,0,6
7,4,1,4,4,1,1,4,4,4,4,2,4,44,0,0,6
6,5,4,5,5,6,5,3,5,5,5,6,3,51,7,3,3
1,2,1,1,1,1,1,1,1,1,1,1,7,19,0,0,9
6,5,4,4,4,5,4,4,4,4,4,4,4,32,0,2,4
4,4,7,3,2,3,6,3,2,3,4,3,2,39,1,3,6
7,5,3,4,4,4,4,4,4,4,4,5,5,48,3,4,3
4,6,2,2,2,2,2,2,2,2,2,2,5,35,3,0,4
5,5,4,4,4,3,3,3,3,3,3,3,2,41,5,3,6
6,6,6,7,4,1,1,2,4,4,4,6,4,54,6,7,6
1,1,1,1,1,1,1,1,1,1,1,1,3,30,0,0,0
7,6,6,7,7,7,7,7,7,6,7,7,8,64,6,11,9
6,6,7,6,5,7,7,7,7,7,4,7,7,57,2,7,4
5,5,4,2,2,1,2,4,4,4,4,4,4,42,0,0,0
1,1,5,1,1,1,1,1,1,1,1,1,2,33,0,0,0
5,5,4,3,3,3,2,4,3,2,3,3,7,42,3,6,5
6,6,7,6,5,7,5,5,5,3,3,7,2,69,11,12,12
7,7,3,2,2,3,5,1,1,1,1,1,4,45,0,0,7
5,5,4,3,2,1,1,1,1,1,1,6,7,34,0,3,5
5,5,1,1,1,4,1,1,1,1,1,1,2,25,0,0,2
4,3,3,2,2,2,1,1,1,1,1,2,3,35,0,0,5
7,7,1,1,4,1,1,1,1,1,1,1,4,60,0,4,0
1,2,4,2,2,2,1,2,2,2,2,2,2,21,0,0,0
5,6,5,5,3,3,4,3,3,3,5,6,8,51,1,8,5
5,4,1,1,1,1,1,1,1,1,7,1,4,60,0,5,4
6,2,1,1,1,6,1,1,1,1,1,1,8,35,4,2,12
6,6,2,2,2,4,2,2,2,2,2,2,2,45,1,0,1
6,6,4,4,4,4,4,4,4,4,4,4,4,45,6,6,6
2,1,3,3,2,4,3,5,5,3,4,5,5,43,1,3,6
2,1,4,2,2,1,2,4,4,3,4,1,4,37,0,0,6
7,5,5,4,4,2,1,1,1,1,1,5,4,34,0,0,2
5,6,2,6,1,1,1,1,1,1,1,2,4,51,2,0,3
6,6,3,2,2,3,5,4,5,2,2,5,2,34,1,1,4
3,3,2,2,2,2,2,5,5,2,5,3,1,40,0,3,5
6,4,4,4,4,1,1,1,1,1,1,1,5,39,0,4,0
5,5,2,2,1,2,6,2,2,1,5,2,4,16,0,0,0
6,6,6,6,6,6,6,4,4,1,1,7,5,27,8,12,12
5,2,2,2,2,1,1,1,1,1,1,2,4,26,0,7,3
5,4,2,2,2,1,1,1,1,1,1,1,3,40,0,0,4
6,4,5,2,4,2,2,4,3,3,4,2,5,44,0,0,0
5,5,1,1,1,1,1,1,1,1,5,1,2,38,0,0,4
3,4,3,3,2,3,2,4,4,4,4,4,7,35,3,5,7
1,4,2,1,1,1,1,4,1,1,4,2,4,45,0,1,7
2,5,2,2,2,2,5,2,2,2,2,2,7,43,1,5,5
